Firstname          ,Lastname        ,SessionDate ,TimeRange     ,Participant ,LOC   ,SOC   ,Chairs ,Organisation                                                     ,Country      ,Title                                                                                                                                                                                          , ,Abstract
Daisei             ,Abe             ,2026-03-19  ,14:00 - 14:25 ,True        ,False ,False ,False  ,Tohoku University/CEA Paris-Saclay                               ,Japan/France ,Origin of Hub-Filament Systems: Radiation-MHD Simulations Toward Understanding Massive Star Formation                                                                                          , ,
Adnan Ali          ,Ahmad           ,2026-03-17  ,09:00 - 09:25 ,True        ,True  ,False ,False  ,CNRS - ENS Lyon                                                  ,France       ,Star-disk connection                                                                                                                                                                           , ,
Hans               ,Baehr           ,2026-03-18  ,11:35 - 12:00 ,True        ,False ,False ,False  ,Max Planck Institute for Astronomy                               ,Germany      ,Prospects for planet formation in the aftermath of gravitational instabilities                                                                                                                 , ,
Xuening            ,Bai             ,2026-03-17  ,10:15 - 10:40 ,True        ,False ,False ,False  ,Tsinghua University                                              ,China        ,The protoplanetary disk ecosystem                                                                                                                                                              , ,
Clément            ,Baruteau        ,2026-03-16  ,11:05 - 11:30 ,True        ,False ,False ,False  ,CNRS / IRAP - University of Toulouse                             ,France       ,Hydrodynamical simulations of the reflex instability in protoplanetary discs                                                                                                                   , ,
Pablo              ,Benítez Llambay ,2026-03-20  ,10:15 - 10:40 ,True        ,False ,True  ,False  ,Universidad Adolfo Ibáñez                                        ,Chile        ,"Breaking the Secular Barrier: A Comoving Framework for Long-Term, Self-Consistent Planet Migration                                                                                          " , ,
Asmita             ,Bhandare        ,            ,              ,True        ,False ,False ,False  ,University Observatory Munich / LMU                              ,Germany      ,Go with the Flow: Probing the Dynamics of Streamlined Infall During Protostellar Disk Formation                                                                                                , ,
Til                ,Birnstiel       ,2026-03-17  ,12:00 - 12:25 ,True        ,False ,False ,False  ,LMU Munich                                                       ,Germany      ,The population perspective: balancing details versus speed                                                                                                                                     , ,
Antonin            ,Borderies       ,2026-03-17  ,16:10 - 16:25 ,True        ,True  ,False ,False  ,CRAL - ENS de Lyon                                               ,France       ,TBD                                                                                                                                                                                            , ,
Daniel             ,Carrera         ,2026-03-20  ,09:50 - 10:15 ,True        ,False ,False ,False  ,New Mexico State University                                      ,USA          ,Pebble Growth and Planetesimal Formation in Vortices and Streaming Instability Filaments                                                                                                       , ,
Sébastien          ,Charnoz         ,2026-03-17  ,14:00 - 14:25 ,True        ,False ,False ,False  ,IPGP / Université Paris Cité                                     ,France       ,Condensation of the first solids in non equilibrium condensation processes: a new perspective                                                                                                  , ,
Benoit             ,Commerçon       ,            ,              ,True        ,True  ,True  ,True   ,CRAL - ENS de Lyon                                               ,France       ,TBD                                                                                                                                                                                            , ,
Timothée           ,David-Cléris    ,2026-03-18  ,15:45 - 16:10 ,True        ,False ,False ,False  ,IPAG                                                             ,France       ,Shamrock: Astrophysics from a laptop to exascale                                                                                                                                               , ,
Alexander          ,Dittmann        ,2026-03-19  ,11:35 - 12:00 ,True        ,False ,False ,False  ,Institute for Advanced Study                                     ,USA          ,How disks alter the orbits of eccentric stellar and planetary systems                                                                                                                          , ,
Joanna             ,Drazkowska      ,2026-03-20  ,09:25 - 09:50 ,True        ,False ,True  ,False  ,Max Planck Institute for Solar System Research                   ,Germany      ,Impact of disk buildup on dust chemistry: the case of CO and water                                                                                                                             , ,
Callum             ,Fairbairn       ,2026-03-18  ,09:00 - 09:25 ,True        ,False ,False ,False  ,Institute for Advanced Study                                     ,USA          ,Parking Planets in Circumbinary Discs OR Warped Magnetospheric Star-Disc Interactions                                                                                                          , ,
Mario              ,Flock           ,2026-03-20  ,14:00 - 14:25 ,True        ,False ,True  ,False  ,MPIA                                                             ,Germany      ,Multi-dust species inner rim of magnetized protoplanetary disks                                                                                                                                , ,
