Firstname          ,Lastname        ,Participant ,LOC   ,SOC   ,Chairs ,Organisation                                                  ,Country      ,Title                                                                                                                                                                                        ,talkTime
Daisei             ,Abe             ,True        ,False ,False ,False  ,Tohoku University/CEA Paris-Saclay                            ,Japan/France ,Origin of Hub-Filament Systems: Radiation-MHD Simulations Toward Understanding Massive Star Formation                                                                                        ,TBD
Adnan Ali          ,Ahmad           ,True        ,True  ,False ,False  ,CNRS - ENS Lyon                                               ,France       ,Star-disk connection                                                                                                                                                                         ,TBD
Hans               ,Baehr           ,True        ,False ,False ,False  ,Max Planck Institute for Astronomy                            ,Germany      ,Prospects for planet formation in the aftermath of gravitational instabilities                                                                                                               ,TBD
Xuening            ,Bai             ,True        ,False ,False ,False  ,Tsinghua University                                           ,China        ,The protoplanetary disk ecosystem                                                                                                                                                            ,TBD
Clément            ,Baruteau        ,True        ,False ,False ,False  ,CNRS / IRAP - University of Toulouse                          ,France       ,Hydrodynamical simulations of the reflex instability in protoplanetary discs                                                                                                                 ,TBD
Pablo              ,Benítez Llambay ,True        ,False ,True  ,False  ,Universidad Adolfo Ibáñez                                     ,Chile        ,"Breaking the Secular Barrier: A Comoving Framework for Long-Term, Self-Consistent Planet Migration"                                                                                         ,TBD
Asmita             ,Bhandare        ,True        ,False ,False ,False  ,University Observatory Munich / LMU                           ,Germany      ,Go with the Flow: Probing the Dynamics of Streamlined Infall During Protostellar Disk Formation                                                                                              ,TBD
Til                ,Birnstiel       ,True        ,False ,False ,False  ,LMU Munich                                                    ,Germany      ,The population perspective: balancing details versus speed                                                                                                                                   ,TBD
Antonin            ,Borderies       ,True        ,True  ,False ,False  ,CRAL - ENS de Lyon                                            ,France       ,TBD                                                                                                                                                                                          ,TBD
Daniel             ,Carrera         ,True        ,False ,False ,False  ,New Mexico State University                                   ,USA          ,Pebble Growth and Planetesimal Formation in Vortices and Streaming Instability Filaments                                                                                                     ,TBD
Sébastien          ,Charnoz         ,True        ,False ,False ,False  ,IPGP / Université Paris Cité                                  ,France       ,Condensation of the first solids in non equilibrium condensation processes: a new perspective                                                                                                ,TBD
