Day , Speaker (File Name)       , Sharing Link
Day5, Joanna_Drazkowska.pdf     , https://drive.google.com/file/d/1SPG-2lczevjJuCuDMG_McXNYxWUR24Vk/view?usp=drivesdk
Day5, Nai_Chieh_Lin.pdf         , https://drive.google.com/file/d/1R1OKwvhuJddV0QcHb9W53qt584rKTCSp/view?usp=drivesdk
Day5, Pablo_Benitez_Llambay.pdf , https://drive.google.com/file/d/1kC2vUrFp6ApniN_spsu5P_TEw_P2atJq/view?usp=drivesdk
Day5, Ugo_Lebreuilly.pdf        , https://drive.google.com/file/d/1eb4Tr2ciYTb-4gqKHJi7uXYgtGiIIgoc/view?usp=drivesdk
Day5, Yueh_Ning_Lee.pdf         , https://drive.google.com/file/d/1d7yQQgbCKoywZoHJEDTPd3LgykhhQobg/view?usp=drivesdk
Day5, Kengo_Tomida.pdf          , https://drive.google.com/file/d/1c6DbQFo5jBKfeGwb9XX1Lo3LU1n6r-O0/view?usp=drivesdk
Day4, Discussion_Day4.pdf       , https://drive.google.com/file/d/1C6_LkNLVEvxdYv5tTGwjDoFyhC0lmSZd/view?usp=drivesdk
Day4, Lin_Qiao.pdf              , https://drive.google.com/file/d/1gEcjNNaAmDoJVrBMaGrraSEc6bHubc4k/view?usp=drivesdk
Day4, Alexander_Mayer.pdf       , https://drive.google.com/file/d/1UTV9n-POa8hGYFNogSELM8lJjVeLXn0A/view?usp=drivesdk
Day4, Daisei_Abe.pdf            , https://drive.google.com/file/d/1vkmIbsK8KEZJu45yZy6XVXvmlN4G9Al_/view?usp=drivesdk
Day4, León_Alexander_Hühn.pdf   , https://drive.google.com/file/d/1iS2WJjveA4BVgoKGL8xtFMsXT89XVR2K/view?usp=drivesdk
Day4, Sijme_Jan_Paardekooper.pdf, https://drive.google.com/file/d/1wii1sd7xp7TBJaLJKZJ1wFhEIETXGRdx/view?usp=drivesdk
Day4, Joe_Williams.pdf          , https://drive.google.com/file/d/11s5P09p7OLZFUOaMeJQ1hZJAhP8VTZYj/view?usp=drivesdk
Day4, Elena_Lega.pdf            , https://drive.google.com/file/d/1csf-ajvKU0yotLiAflqe-krC-Lh-tRe7/view?usp=drivesdk
Day4, Valentin_Vallucci_Goy.pdf , https://drive.google.com/file/d/18LERWlVNub-NYstGbeXPZlpLjjyycToi/view?usp=drivesdk
Day4, Min_Kai_Lin.pdf           , https://drive.google.com/file/d/1sn_7h1edX89HYCCMiLEijWy-s1yRA8uu/view?usp=drivesdk
Day3, Timothée_David_Cléris.pdf , https://drive.google.com/file/d/1wKcOuXe-tGUTMNyGiSa1o7FrUtFhcRGL/view?usp=drivesdk
Day3, Shinsuke_Takasao.pdf      , https://drive.google.com/file/d/1HtVxwLy0KZHAfzIDCqAT_yTthmz6xEzf/view?usp=drivesdk
Day3, Kundan_Kadam.pdf          , https://drive.google.com/file/d/1Esub6dEt5Sny-IR-fvGHlzMNUqxNbu4A/view?usp=drivesdk
Day3, Eleftheria_Sarafidou.pdf  , https://drive.google.com/file/d/1easO7xSJb9YND2gOgqUGC2SannRVCaT4/view?usp=drivesdk
Day3, Hans_Baehr.pdf            , https://drive.google.com/file/d/1FjL_9aMN8Fp-L_FXpuQMWdzVbwcIQMwJ/view?usp=drivesdk
Day3, Erika_Nishio.pdf          , https://drive.google.com/file/d/1W-LR-WvDws2EKNnU92Wt1C7yIfVt4s1j/view?usp=drivesdk
Day3, Ziyan_Xu.pdf              , https://drive.google.com/file/d/1jCiYIE7ZM45bbKdRgqWFO5mxM_pR5F8H/view?usp=drivesdk
Day3, Jean_François_Gonzalez.pdf, https://drive.google.com/file/d/1Rn4MGWpm9-7kLP40NPCTl5N4wBLtw9jV/view?usp=drivesdk
Day3, Riouhei_Nakatani.pdf      , https://drive.google.com/file/d/1ZN1_GEznJIk9b0Xr9OkFA46Obq0m-Zjx/view?usp=drivesdk
Day3, Callum_Fairbairn.pdf      , https://drive.google.com/file/d/1JZ96TjJyeR5v0kxIJpRnOeZDOBcZCkpJ/view?usp=drivesdk
Day2, Discussion_Day2.pdf       , https://drive.google.com/file/d/1LnoGm4sNlqC4iGDV-K-SWOzmm383n323/view?usp=drivesdk
Day2, Antonin_Borderies.pdf     , https://drive.google.com/file/d/1I1gta-erBVio2pqwGtq5oK0rLjct3SHj/view?usp=drivesdk
Day2, Maxime_Lombart.pdf        , https://drive.google.com/file/d/1xcjSrZigkFMHpUDWhw_SMK-Rp0NRnUDw/view?usp=drivesdk
Day2, Til_Birnstiel.pdf         , https://drive.google.com/file/d/1mVYOUf7xBJOqL2uiUQ2tw8L0s1S5aDlh/view?usp=drivesdk
Day2, Marco_Padovani.pdf        , https://drive.google.com/file/d/1Q-B4YBG8nUPtflyBw2UBmRTB85pxycSd/view?usp=drivesdk
Day2, Xue_Ning_Bai.pdf          , https://drive.google.com/file/d/176bXecIl5CC0Hn-wSR12Dq0GKxWFR05u/view?usp=drivesdk
Day2, Leonardo_Krapp.pdf        , https://drive.google.com/file/d/1RjkQF98ob8jDQ3vnh7g8XjRf0gQHfKu-/view?usp=drivesdk
Day2, Elliot_Lynch.pdf          , https://drive.google.com/file/d/19xSdZj3BwSUH9oXRp6x7A1haqKNk-wAN/view?usp=drivesdk
Day1, Gabriel_Verrier.pdf       , https://drive.google.com/file/d/116deAn2AYWdy89-Pj_ufo46zNzjJjD7C/view?usp=drivesdk
Day1, Adnan_Ali_Ahmad.pdf       , https://drive.google.com/file/d/159R33QeDIluRLZJ-q72TesNBYcybJJYX/view?usp=drivesdk
Day1, Thomas_Haworth.pdf        , https://drive.google.com/file/d/1VqP0CNNf3v18Ie_TmQYkkZsnJ6UkF26E/view?usp=drivesdk
Day1, Eduard_Vorobyov.pptx      , https://docs.google.com/presentation/d/1hhIwPE4sMg8lf1RW7FuOkRR1lf_1XE6k/edit?usp=drivesdk&ouid=114697180935964785466&rtpof=true&sd=true
Day2, Farzana_Meru.pdf          , https://drive.google.com/file/d/1-TifiRhP3w8Peij0RllMjNuHdg7Kej47/view?usp=drivesdk
Day1, Chao_Chin_Yang.pdf        , https://drive.google.com/file/d/1-zEugV9_zWd1HbE9s2ojUKJz3tvJ8so0/view?usp=drivesdk
Day1, Tyger_Peake.pptx          , https://docs.google.com/presentation/d/1D1MPDTYvHLgfqH7Fg-4QwLxRZmjqeQFl/edit?usp=drivesdk&ouid=114697180935964785466&rtpof=true&sd=true
